iter	Passed	Remaining
0	1	1614
1	2	1469
2	4	1348
3	5	1327
4	8	1689
5	9	1584
6	10	1467
7	11	1384
8	12	1321
9	12	1258
10	13	1209
11	14	1171
12	14	1137
13	15	1106
14	16	1080
15	17	1059
16	17	1035
17	18	1015
18	19	1001
19	20	995
20	21	983
21	21	968
22	22	965
23	23	962
24	24	951
25	25	938
26	25	926
27	26	915
28	26	902
29	27	891
30	28	881
31	28	872
32	29	863
33	30	854
34	30	846
35	31	838
36	31	830
37	32	824
38	33	818
39	33	811
40	34	805
41	35	800
42	35	794
43	36	788
44	36	784
45	38	789
46	39	794
47	39	791
48	40	787
49	41	783
50	41	778
51	42	773
52	43	770
53	43	766
54	44	762
55	44	758
56	45	754
57	46	751
58	46	748
59	47	744
60	48	741
61	48	741
62	49	738
63	50	735
64	50	733
65	51	730
66	52	728
67	53	733
68	54	732
69	54	729
70	55	727
71	56	725
72	57	723
73	57	721
74	58	718
75	58	716
76	59	713
77	60	710
78	60	707
79	61	705
80	61	702
81	62	700
82	62	695
83	63	693
84	64	691
85	64	689
86	65	689
87	66	690
88	69	709
89	70	711
90	71	713
91	72	716
92	73	718
93	74	721
94	75	719
95	77	731
96	79	737
97	80	737
98	80	736
99	81	734
100	82	733
101	83	737
102	84	737
103	85	736
104	86	734
105	86	732
106	87	730
107	88	728
108	88	726
109	89	723
110	90	722
111	91	725
112	92	724
113	92	722
114	93	719
115	94	717
116	94	713
117	95	711
118	95	708
119	96	706
120	96	703
121	97	700
122	98	701
123	99	703
124	100	702
125	100	700
126	101	697
127	102	695
128	102	693
129	103	691
130	103	689
131	104	687
132	105	686
133	105	684
134	106	683
135	107	681
136	107	679
137	108	676
138	108	674
139	109	672
140	110	671
141	110	668
142	111	666
143	111	664
144	112	662
145	113	662
146	114	664
147	115	663
148	115	661
149	116	660
150	117	658
151	117	656
152	118	654
153	118	652
154	119	651
155	120	649
156	120	648
157	121	646
158	121	644
159	122	642
160	122	640
161	123	638
162	124	637
163	124	635
164	125	633
165	125	632
166	126	630
167	127	628
168	127	627
169	129	632
170	130	631
171	130	629
172	131	628
173	132	626
174	132	625
175	133	624
176	133	622
177	134	621
178	135	619
179	135	618
180	136	616
181	136	615
182	137	613
183	138	612
184	138	611
185	139	609
186	139	607
187	140	606
188	141	605
189	141	603
190	142	602
191	142	601
192	143	600
193	145	602
194	145	601
195	146	600
196	147	599
197	147	598
198	148	596
199	148	595
200	149	594
201	150	592
202	150	591
203	151	590
204	151	588
205	152	587
206	152	586
207	153	584
208	154	583
209	154	582
210	155	580
211	155	579
212	156	578
213	157	577
214	157	576
215	158	575
216	159	576
217	160	576
218	161	574
219	161	573
220	162	572
221	162	570
222	163	569
223	164	568
224	164	567
225	165	566
226	165	564
227	166	563
228	167	562
229	167	561
230	168	560
231	168	558
232	169	557
233	169	556
234	170	555
235	171	554
236	171	553
237	172	551
238	172	550
239	173	549
240	174	550
241	175	550
242	176	549
243	176	548
244	177	547
245	178	546
246	178	545
247	179	544
248	180	543
249	180	542
250	181	541
251	182	541
252	182	539
253	183	539
254	184	538
255	184	537
256	185	536
257	186	535
258	186	533
259	187	533
260	188	532
261	188	532
262	190	533
263	191	532
264	191	532
265	192	531
266	193	530
267	193	529
268	194	528
269	194	527
270	195	526
271	196	524
272	196	524
273	197	523
274	198	522
275	198	521
276	199	520
277	199	519
278	200	518
279	201	517
280	201	516
281	202	515
282	203	515
283	204	515
284	205	514
285	205	514
286	206	513
287	207	512
288	207	511
289	208	511
290	209	510
291	209	509
292	210	508
293	211	507
294	211	506
295	212	505
296	213	504
297	213	503
298	214	502
299	214	501
300	215	500
301	216	499
302	217	499
303	218	500
304	220	502
305	221	503
306	222	502
307	223	501
308	223	500
309	224	499
310	225	498
311	225	497
312	226	496
313	226	495
314	227	494
315	228	493
316	228	493
317	229	492
318	230	491
319	230	490
320	231	489
321	232	488
322	232	487
323	233	486
324	234	486
325	235	486
326	236	486
327	237	485
328	237	485
329	238	484
330	239	483
331	239	482
332	240	481
333	240	480
334	241	479
335	242	478
336	242	477
337	243	476
338	243	475
339	244	474
340	245	474
341	246	473
342	247	473
343	247	472
344	248	471
345	249	471
346	250	471
347	251	470
348	251	469
349	252	469
350	253	468
351	253	467
352	254	466
353	255	465
354	255	464
355	256	463
356	257	463
357	257	462
358	258	461
359	258	460
360	259	459
361	260	458
362	260	457
363	261	456
364	262	455
365	262	454
366	263	454
367	264	453
368	265	453
369	266	453
370	266	452
371	267	451
372	268	451
373	268	450
374	269	449
375	270	448
376	270	447
377	271	446
378	272	445
379	272	444
380	273	443
381	273	443
382	274	442
383	275	441
384	275	440
385	276	439
386	277	438
387	277	437
388	278	437
389	278	436
390	280	436
391	281	435
392	281	435
393	282	434
394	283	433
395	283	432
396	284	432
397	285	431
398	285	430
399	286	429
400	287	428
401	287	428
402	288	427
403	289	426
404	290	426
405	290	425
406	291	425
407	292	424
408	293	423
409	293	422
410	295	423
411	295	422
412	296	421
413	297	421
414	298	420
415	298	419
416	299	418
417	300	417
418	300	417
419	301	416
420	302	415
421	302	414
422	303	413
423	304	413
424	304	412
425	305	411
426	306	410
427	306	410
428	307	409
429	308	408
430	308	407
431	309	407
432	310	407
433	311	406
434	312	405
435	313	405
436	314	404
437	315	404
438	315	403
439	316	402
440	317	401
441	318	401
442	318	400
443	319	400
444	320	399
445	321	398
446	321	398
447	322	397
448	323	396
449	323	395
450	324	395
451	326	395
452	327	395
453	328	395
454	329	394
455	330	393
456	330	393
457	331	392
458	332	391
459	333	390
460	333	390
461	334	389
462	334	388
463	335	387
464	336	387
465	337	386
466	337	385
467	338	384
468	339	384
469	340	384
470	341	383
471	342	382
472	342	382
473	343	381
474	344	380
475	344	379
476	345	378
477	346	378
478	346	377
479	347	376
480	348	375
481	349	375
482	349	374
483	350	373
484	351	372
485	351	372
486	352	371
487	353	370
488	353	369
489	354	369
490	355	368
491	356	368
492	357	367
493	358	366
494	358	365
495	359	364
496	359	364
497	360	363
498	361	362
499	361	361
500	362	361
501	363	360
502	363	359
503	364	358
504	364	357
505	365	356
506	366	355
507	366	355
508	367	354
509	367	353
510	368	352
511	368	351
512	369	350
513	370	350
514	371	350
515	372	349
516	373	348
517	374	348
518	374	347
519	375	346
520	375	345
521	376	344
522	376	343
523	377	343
524	378	342
525	378	341
526	379	340
527	380	339
528	380	338
529	381	338
530	382	337
531	382	336
532	383	335
533	383	335
534	384	334
535	385	333
536	386	333
537	387	332
538	387	331
539	388	330
540	389	330
541	389	329
542	390	328
543	390	327
544	391	326
545	392	326
546	392	325
547	393	324
548	393	323
549	394	322
550	395	321
551	395	321
552	396	320
553	396	319
554	397	318
555	397	317
556	398	316
557	399	316
558	400	315
559	401	315
560	401	314
561	402	313
562	403	312
563	403	312
564	404	311
565	405	310
566	405	309
567	406	308
568	406	308
569	407	307
570	408	306
571	408	305
572	409	305
573	409	304
574	410	303
575	411	302
576	411	301
577	412	301
578	412	300
579	413	299
580	414	298
581	414	297
582	415	297
583	416	296
584	417	296
585	417	295
586	418	294
587	419	293
588	419	293
589	420	292
590	421	291
591	421	290
592	422	289
593	422	288
594	423	288
595	423	287
596	424	286
597	425	285
598	425	284
599	426	284
600	426	283
601	427	282
602	428	281
603	428	281
604	429	280
605	430	279
606	431	279
607	431	278
608	432	277
609	433	276
610	433	276
611	434	275
612	434	274
613	435	273
614	436	273
615	436	272
616	437	271
617	437	270
618	438	269
619	439	269
620	439	268
621	440	267
622	440	266
623	442	266
624	443	266
625	447	267
626	449	267
627	450	266
628	451	266
629	452	265
630	454	265
631	455	265
632	456	264
633	458	264
634	459	264
635	460	263
636	463	264
637	465	263
638	466	263
639	467	263
640	469	262
641	470	262
642	471	261
643	473	261
644	474	260
645	475	260
646	478	261
647	481	261
648	483	261
649	484	260
650	485	260
651	487	260
652	489	259
653	490	259
654	491	259
655	495	259
656	497	259
657	499	259
658	501	259
659	502	258
660	503	258
661	505	257
662	505	257
663	507	256
664	510	257
665	512	256
666	513	256
667	514	255
668	515	254
669	516	254
670	517	253
671	518	253
672	519	252
673	520	251
674	522	251
675	528	253
676	532	253
677	533	253
678	534	252
679	535	252
680	537	251
681	541	252
682	542	251
683	543	251
684	545	250
685	546	250
686	547	249
687	549	249
688	550	248
689	551	247
690	552	247
691	554	246
692	557	246
693	558	246
694	559	245
695	561	245
696	562	244
697	563	243
698	565	243
699	566	242
700	567	242
701	573	243
702	575	243
703	577	242
704	578	242
705	580	241
706	581	241
707	582	240
708	584	239
709	587	240
710	589	239
711	590	238
712	591	238
713	592	237
714	594	236
715	596	236
716	597	235
717	599	235
718	600	234
719	605	235
720	607	234
721	608	234
722	609	233
723	611	233
724	613	232
725	614	231
726	615	231
727	616	230
728	619	230
729	620	229
730	622	228
731	623	228
732	624	227
733	626	226
734	627	226
735	628	225
736	629	224
737	631	224
738	632	223
739	634	222
740	635	222
741	636	221
742	637	220
743	639	219
744	640	219
745	641	218
746	642	217
747	643	216
748	645	216
749	646	215
750	650	215
751	651	214
752	652	214
753	653	213
754	654	212
755	656	211
756	657	210
757	658	210
758	660	209
759	661	208
760	664	208
761	665	207
762	667	207
763	668	206
764	669	205
765	671	205
766	672	204
767	674	203
768	680	204
769	681	203
770	683	202
771	684	202
772	685	201
773	686	200
774	687	199
775	687	198
776	688	197
777	689	196
778	690	195
779	691	194
780	691	193
781	692	193
782	695	192
783	696	192
784	697	191
785	698	190
786	699	189
787	699	188
788	700	187
789	701	186
790	702	185
791	703	184
792	703	183
793	704	182
794	705	181
795	706	180
796	706	180
797	707	179
798	709	178
799	710	177
800	711	176
801	712	175
802	713	174
803	713	174
804	714	173
805	715	172
806	716	171
807	717	170
808	717	169
809	718	168
810	719	167
811	720	166
812	720	165
813	721	164
814	722	164
815	723	163
816	725	162
817	726	161
818	727	160
819	728	159
820	728	158
821	729	157
822	730	157
823	731	156
824	732	155
825	732	154
826	733	153
827	734	152
828	735	151
829	736	150
830	736	149
831	737	148
832	738	148
833	740	147
834	741	146
835	741	145
836	742	144
837	743	143
838	744	142
839	745	141
840	745	140
841	746	140
842	747	139
843	747	138
844	748	137
845	749	136
846	750	135
847	751	134
848	752	133
849	754	133
850	755	132
851	756	131
852	757	130
853	758	129
854	758	128
855	759	127
856	760	126
857	761	125
858	761	125
859	762	124
860	763	123
861	764	122
862	765	121
863	766	120
864	767	119
865	769	119
866	770	118
867	771	117
868	772	116
869	773	115
870	774	114
871	774	113
872	775	112
873	776	111
874	777	111
875	778	110
876	779	109
877	779	108
878	780	107
879	781	106
880	782	105
881	782	104
882	786	104
883	787	103
884	787	102
885	788	101
886	789	100
887	790	99
888	791	98
889	792	97
890	793	97
891	794	96
892	795	95
893	796	94
894	797	93
895	797	92
896	799	91
897	801	91
898	802	90
899	803	89
900	804	88
901	805	87
902	805	86
903	806	85
904	807	84
905	808	83
906	810	83
907	811	82
908	812	81
909	813	80
910	816	79
911	817	78
912	818	77
913	819	77
914	820	76
915	821	75
916	821	74
917	822	73
918	823	72
919	824	71
920	825	70
921	826	69
922	826	68
923	827	68
924	828	67
925	829	66
926	832	65
927	833	64
928	834	63
929	834	62
930	835	61
931	836	61
932	837	60
933	838	59
934	839	58
935	840	57
936	841	56
937	841	55
938	842	54
939	843	53
940	844	52
941	847	52
942	848	51
943	849	50
944	850	49
945	851	48
946	852	47
947	852	46
948	853	45
949	854	44
950	855	44
951	856	43
952	856	42
953	857	41
954	858	40
955	859	39
956	861	38
957	863	37
958	864	36
959	864	36
960	865	35
961	866	34
962	867	33
963	867	32
964	868	31
965	869	30
966	870	29
967	871	28
968	872	27
969	873	27
970	874	26
971	875	25
972	878	24
973	879	23
974	880	22
975	881	21
976	881	20
977	882	19
978	883	18
979	884	18
980	884	17
981	885	16
982	886	15
983	887	14
984	888	13
985	888	12
986	889	11
987	890	10
988	892	9
989	894	9
990	895	8
991	896	7
992	896	6
993	897	5
994	898	4
995	899	3
996	900	2
997	901	1
998	902	0
999	902	0
